id;name;username;password;phone_number;address;religion;gender;place_birth;date_birth;last_education;blood_type;bpjs;role;doctor_category
1;akmal;kamal;kamal12;08197763;kronggahan;islam;M;Ciamis;25-07-2005;SMK;O;27382398;patient;

3;akmal;samsu;samsu12;08197763;kronggahan;islam;M;Ciamis;09-07-1990;S3 Keresepsionisan;O;;resepsionis;
4;Budi;budi20;passbudi;0876856363;semarang;islam;laki-laki;4;04-09-2005;S3 Kedokteran;O;Ya;doctor;Bedah
5;Akmal;Akmal89;passakmal;08567317176;cianjur;katolik;laki-laki;0;09-08-2000;SMK;O;Y;Resepsionis;
6;dw;cwd;ed;evf;vf;evf;Laki-laki;fg;09-08-1989;jhvu;B;jhvg;doctor;uhvgu

2;akmal;samsu;samsu12;08197763;kronggahan;islam;M;Ciamis;09-07-1990;S3 Keresepsionisan;O;;receptionis;
3;akmal;dudung;dudung12;08197763;kronggahan;islam;M;Ciamis;09-07-1995;S3 Keadminan;O;;admin;
4;Jarwo;jarwo;jarwo;0829283623;Trihanggo;Islam;L;08-08-1989;08-08-1989;S3 Kedokteran UII;AB;9817238230;doctor;UMUM1
5;Akmal;Akmal89;passakmal;08567317176;cianjur;katolik;laki-laki;0;09-08-2000;remaja;Y;SMA;AB;Y;receptionis
6;Dono;dono;dono12;9287635267847;Jakarta;Islam;L;Jakarta;10-02-1991;S1 Film;AB;98726545362;doctor;Dokter Jantung
9;Indro;indro;indro12;87427841038;Jakarta;Islam;L;Jakarta;10-10-1010;SI Pendidikan;A;389716339818;doctor;Dokter Gadungan
10;tatang;tatang12;0189273631;10-10-2000;
11;;sopo;sopo12;01836147617;;;;;20-10-2008;;;;patient;
10;;kasino;kasino12;013876248782;;;;;30-10-1980;;;;patient;

